,t,E_init,E_PI,E_bc,E_bc_int_ub,E_bc_int_ubdot,E_bc_sum_ubt,E_bc_sum_ub0,N_SP,E_tot,E_ref
19.0,1.7999999523162842,0.5060504078865051,1.1764919757843018,0.0,1.5451993942260742,0.003823432605713606,0.00415031099691987,0.7692133784294128,36.0,3.235715627670288,0.9280582070350647
20.0,1.899999976158142,0.5067593455314636,1.1917725801467896,0.0,1.6253416538238525,0.004115418531000614,0.004051183350384235,0.7681372165679932,37.0,3.3320400714874268,0.9432443976402283
21.0,2.0,0.5074693560600281,1.217176079750061,0.0,1.7036751508712769,0.0044088782742619514,0.003948883153498173,0.7670626044273376,40.0,3.436678171157837,0.9577227234840393
22.0,2.0999999046325684,0.5081802606582642,1.2371941804885864,0.0,1.7801586389541626,0.004700958728790283,0.003845196682959795,0.7659894824028015,42.0,3.5340793132781982,0.9714941382408142
23.0,2.200000047683716,0.5088922381401062,1.257057547569275,0.0,1.8547775745391846,0.004989331588149071,0.003741745138540864,0.7649178504943848,44.0,3.629458427429199,0.9845552444458008
24.0,2.299999952316284,0.5096051692962646,1.2767987251281738,0.0,1.9275473356246948,0.00527209835126996,0.003639922244474292,0.7638477087020874,46.0,3.72286319732666,0.996898889541626
25.0,2.4000000953674316,0.5103191137313843,1.2964431047439575,0.0,1.9985074996948242,0.005547766108065844,0.003540840931236744,0.7627790570259094,48.0,3.8143582344055176,1.0085153579711914
26.0,2.5,0.5110340714454651,1.3160102367401123,0.0,2.067715883255005,0.005815310403704643,0.0034453037660568953,0.7617118954658508,50.0,3.9040207862854004,1.0193934440612793
27.0,2.5999999046325684,0.5117500424385071,1.3355158567428589,0.0,2.135242223739624,0.0060741715133190155,0.0033537917770445347,0.7606462836265564,52.0,3.991936206817627,1.0295215845108032
28.0,2.700000047683716,0.5124669671058655,1.3549728393554688,0.0,2.2011632919311523,0.006324223708361387,0.003266479354351759,0.7595821022987366,54.0,4.078193664550781,1.0388885736465454
29.0,2.799999952316284,0.5131849050521851,1.3743915557861328,0.0,2.2655558586120605,0.006565728224813938,0.003183265682309866,0.7585194110870361,56.0,4.162881374359131,1.047484040260315
30.0,2.9000000953674316,0.5139039158821106,1.3937808275222778,0.0,2.328493118286133,0.006799269467592239,0.0031038245651870966,0.7574582695960999,58.0,4.2460808753967285,1.0552985668182373
31.0,3.0,0.5146238803863525,1.4131478071212769,0.0,2.390040159225464,0.007025673519819975,0.0030276633333414793,0.7563985586166382,60.0,4.327865123748779,1.062324047088623
32.0,3.0999999046325684,0.5153448581695557,1.4324990510940552,0.0,2.450251817703247,0.007245911285281181,0.0029541864059865475,0.7553403377532959,62.0,4.408295631408691,1.0685534477233887
33.0,3.200000047683716,0.51606684923172,1.451839804649353,0.0,2.509171724319458,0.007460959255695343,0.0028827558271586895,0.754283607006073,64.0,4.487422466278076,1.0739818811416626
34.0,3.299999952316284,0.5167898535728455,1.471174955368042,0.0,2.5668303966522217,0.007671766448765993,0.0028127492405474186,0.7532283067703247,66.0,4.565279960632324,1.0786064863204956
35.0,3.4000000953674316,0.5175138711929321,1.4905085563659668,0.0,2.6232478618621826,0.007879172451794147,0.0027436050586402416,0.7521745562553406,68.0,4.64189338684082,1.082428216934204
36.0,3.5,0.5182388424873352,1.509844183921814,0.0,2.678434133529663,0.008083865977823734,0.0026748578529804945,0.751122236251831,70.0,4.717276096343994,1.0854519605636597
37.0,3.5999999046325684,0.5189648866653442,1.529185175895691,0.0,2.732391595840454,0.008286374621093273,0.002606156514957547,0.7500714063644409,72.0,4.791434288024902,1.0876883268356323
38.0,3.700000047683716,0.5196919441223145,1.5485342741012573,0.0,2.7851169109344482,0.008487075567245483,0.0025372670497745275,0.7490220665931702,74.0,4.864367485046387,1.0891542434692383
39.0,3.799999952316284,0.5204200744628906,1.5654983520507812,0.0,2.836604118347168,0.008686230517923832,0.0024680618662387133,0.747974157333374,75.0,4.933676719665527,1.0898735523223877
40.0,3.9000000953674316,0.5211491584777832,1.587266445159912,0.0,2.886842966079712,0.008884076029062271,0.0023984936997294426,0.7469277381896973,78.0,5.006540775299072,1.0898776054382324
41.0,4.0,0.521879255771637,1.6066536903381348,0.0,2.935826539993286,0.00908080954104662,0.0023285679053515196,0.7458827495574951,80.0,5.075768947601318,1.0892045497894287
