t,bcerr
0.0,0.1022898101702757
0.004364510506086844,0.1267208141520222
0.008349495966543594,0.14575012997589207
0.01067215202877557,0.1558615208867516
0.015049850811453222,0.1734516288435308
0.022623396428223082,0.20051465800407564
0.028445143329729805,0.21917124632947588
0.031006828180868997,0.22690923744026806
0.037375038536278146,0.24509345527844642
0.042214851149604396,0.2580399518875839
0.04916992299580208,0.27552230946538814
0.053837010010158295,0.28660258391097243
0.057776674284059366,0.29559262208820947
0.06402062025878133,0.3092232948544857
0.06847150229736558,0.3185172768337935
0.07252339515934458,0.32669756383056453
0.07604071047537898,0.33359562127482856
0.08469245858513853,0.34982422632777144
0.0859658176425385,0.3521297309384458
0.09112560360259726,0.36126865993040286
0.0961909530122018,0.36993889236670785
0.10473376499905444,0.3839360311582071
0.10535326680087671,0.38492223175494344
0.1144689462099972,0.39901310471312357
0.11640992232238892,0.40191591799079684
0.12117885963833398,0.4089104632558394
0.12742340017886908,0.41778591326400816
0.13122680347069132,0.4230415668884419
0.137014851145684,0.430831795006086
0.1448660599140935,0.44101766682212046
0.14528087348377897,0.441544083601317
0.15378737739008158,0.4520911505959025
0.159552247331758,0.45897960251148817
0.16439140623459256,0.4646076701671882
0.16590683424542613,0.4663420155226764
0.1736092294259302,0.47495640693997665
0.1783907113414898,0.48014046736874105
0.1828791932705747,0.48489698515323865
0.18723076007082456,0.48940972067391675
0.19219688221656672,0.49444437454753504
0.1956715169386606,0.49789571019143203
0.20461944971981152,0.5065226736830102
0.2074824294975544,0.5092058816386944
0.2104152239360905,0.5119168691864522
0.21896565205437069,0.5196088043422016
0.2222038200890276,0.5224417253609979
0.22546118981757593,0.5252482349373032
0.23321677300221116,0.5317604061228646
0.23917480047407252,0.5366054896971858
0.2413772093304172,0.5383627765908414
0.24719483318009658,0.5429192321187059
0.2509349569108982,0.5457844851941598
0.25575988274317685,0.5494085643151998
0.26491651606181893,0.5560693257415866
0.26923858398862244,0.5591177405197298
0.2742156077103434,0.5625545765171128
0.27766202550074914,0.5648893864734322
0.2836846301603361,0.5688830815121976
0.287990365152186,0.5716725459035586
0.29480042159984515,0.5759758829453641
0.2978942356109656,0.5778880276489545
0.30303886554843973,0.5810099652636899
0.3064695697990536,0.5830525814814012
0.31383050243214833,0.5873322202530782
0.31666851689594977,0.5889456009666689
0.3200503809276342,0.590842174382038
0.3290671999669092,0.5957644330853332
0.33084752068261614,0.5967137815484113
0.336248504095617,0.5995496622249409
0.3403848312589618,0.6016775051973976
0.3478163776170628,0.6054074911035172
0.35175428825963556,0.6073368730120469
0.35674675459912203,0.6097374135959642
0.3604401176638933,0.6114812605343124
0.36798935995707727,0.6149634314863486
0.37290997658918057,0.6171753336534557
0.3761216454702386,0.6185951371428979
0.3843244623057873,0.6221381861336056
0.3869340118972614,0.6232408780607308
0.39384261844490503,0.6261049675656982
0.3996474106190597,0.6284511694260845
0.40282741093144253,0.6297137772106172
0.409780946889829,0.6324202449824445
0.4124394874276534,0.6334357136028734
0.4156038927252475,0.6346307980669428
0.4232002947644431,0.6374407079355752
0.429669703753506,0.6397699892459809
0.43251802514020554,0.6407774518139103
0.4370551023257425,0.6423599441703403
0.4403141057623184,0.6434800530404179
0.4483791900823029,0.646193839042881
0.4507555599143622,0.6469780033520561
0.45622465220562675,0.6487566529399604
0.4626935618735222,0.6508146071640126
0.4674377216544256,0.6522930639862402
0.4727885372135434,0.6539300846292816
0.4791191690736252,0.6558260953961964
0.4828290515942954,0.6569171053334926
0.48684505223037833,0.6580817229571354
0.4944630284844477,0.6602449866648515
0.49817706165564585,0.6612782803443261
